,moderator,id_request,request_time,start_time,finish_time,team,before_1_resp_min,solve_prblm_min,total_requests_by_mod,hour_of_day,date
13234,180,189326,2020-11-27 08:05:28,2020-11-27 19:34:01,2020-11-27 19:42:46,wholesale,688.55,8.75,1349,8,2020-11-27
13272,180,189372,2020-11-27 08:25:54,2020-11-27 19:42:48,2020-11-27 19:50:04,wholesale,676.9,7.267,1349,8,2020-11-27
13273,180,189373,2020-11-27 08:25:59,2020-11-27 19:50:05,2020-11-27 19:54:24,wholesale,684.1,4.317,1349,8,2020-11-27
13282,180,189384,2020-11-27 08:30:07,2020-11-27 19:54:25,2020-11-27 19:57:56,wholesale,684.3,3.517,1349,8,2020-11-27
13287,180,189389,2020-11-27 08:31:37,2020-11-27 19:57:59,2020-11-27 20:02:26,wholesale,686.367,4.45,1349,8,2020-11-27
13309,180,189413,2020-11-27 08:48:46,2020-11-27 20:02:27,2020-11-27 20:06:39,wholesale,673.683,4.2,1349,8,2020-11-27
13316,180,189420,2020-11-27 08:56:23,2020-11-27 20:10:02,2020-11-27 20:15:46,wholesale,673.65,5.733,1349,8,2020-11-27
13317,180,189421,2020-11-27 08:56:38,2020-11-27 20:15:47,2020-11-27 20:21:58,wholesale,679.15,6.183,1349,8,2020-11-27
13320,180,189425,2020-11-27 08:58:48,2020-11-27 20:21:59,2020-11-27 20:22:58,wholesale,683.183,0.983,1349,8,2020-11-27
13325,180,189432,2020-11-27 09:06:57,2020-11-27 20:33:25,2020-11-27 20:34:02,wholesale,686.467,0.617,1349,9,2020-11-27
13326,180,189433,2020-11-27 09:08:09,2020-11-27 20:34:03,2020-11-27 20:44:23,wholesale,685.9,10.333,1349,9,2020-11-27
12655,180,188481,2020-11-26 14:20:38,2020-11-27 20:44:48,2020-11-27 20:45:37,wholesale,1824.167,0.817,1349,14,2020-11-27
13347,180,189457,2020-11-27 09:24:54,2020-11-27 20:45:55,2020-11-27 20:55:07,wholesale,681.017,9.2,1349,9,2020-11-27
13349,180,189459,2020-11-27 09:25:35,2020-11-27 20:55:08,2020-11-27 21:10:39,wholesale,689.55,15.517,1349,9,2020-11-27
13354,180,189464,2020-11-27 09:27:19,2020-11-27 21:10:43,2020-11-27 21:14:07,wholesale,703.4,3.4,1349,9,2020-11-27
13415,180,189534,2020-11-27 10:38:13,2020-11-27 21:14:07,2020-11-27 21:22:00,wholesale,635.9,7.883,1349,10,2020-11-27
13468,180,189604,2020-11-27 12:11:38,2020-11-27 21:24:50,2020-11-27 21:27:24,wholesale,553.2,2.567,1349,12,2020-11-27
13474,180,189612,2020-11-27 12:19:16,2020-11-27 21:27:25,2020-11-27 21:30:15,wholesale,548.15,2.833,1349,12,2020-11-27
13480,180,189619,2020-11-27 12:32:43,2020-11-27 21:30:16,2020-11-27 21:33:56,wholesale,537.55,3.667,1349,12,2020-11-27
13483,180,189625,2020-11-27 12:36:45,2020-11-27 21:33:56,2020-11-27 21:34:34,wholesale,537.183,0.633,1349,12,2020-11-27
13485,180,189627,2020-11-27 12:38:32,2020-11-27 21:34:37,2020-11-27 21:37:28,wholesale,536.083,2.85,1349,12,2020-11-27
13497,180,189641,2020-11-27 12:49:48,2020-11-27 21:37:29,2020-11-27 21:42:09,wholesale,527.683,4.667,1349,12,2020-11-27
13518,180,189665,2020-11-27 13:08:48,2020-11-27 21:42:09,2020-11-27 21:47:01,wholesale,513.35,4.867,1349,13,2020-11-27
13554,180,189721,2020-11-27 13:48:03,2020-11-27 21:47:11,2020-11-27 21:54:24,wholesale,479.133,7.217,1349,13,2020-11-27
13590,180,189775,2020-11-27 14:42:36,2020-11-27 21:54:24,2020-11-27 21:54:26,wholesale,431.8,0.033,1349,14,2020-11-27
13610,180,189808,2020-11-27 15:06:41,2020-11-27 21:54:28,2020-11-27 21:56:42,wholesale,407.783,2.233,1349,15,2020-11-27
13633,180,189849,2020-11-27 15:36:51,2020-11-27 21:56:44,2020-11-27 22:05:02,wholesale,379.883,8.3,1349,15,2020-11-27
12786,180,188766,2020-11-27 00:50:50,2020-11-27 22:36:20,2020-11-27 22:36:38,wholesale,1305.5,0.3,1349,0,2020-11-27
12788,180,188768,2020-11-27 00:52:18,2020-11-27 22:36:39,2020-11-27 22:38:58,wholesale,1304.35,2.317,1349,0,2020-11-27
12793,180,188773,2020-11-27 00:56:32,2020-11-27 22:38:59,2020-11-27 22:39:27,wholesale,1302.45,0.467,1349,0,2020-11-27
12794,180,188774,2020-11-27 00:56:51,2020-11-27 22:39:28,2020-11-27 22:39:45,wholesale,1302.617,0.283,1349,0,2020-11-27
12795,180,188775,2020-11-27 00:58:22,2020-11-27 22:39:46,2020-11-27 22:41:27,wholesale,1301.4,1.683,1349,0,2020-11-27
12796,180,188779,2020-11-27 01:02:54,2020-11-27 22:41:28,2020-11-27 22:41:58,wholesale,1298.567,0.5,1349,1,2020-11-27
12798,180,188781,2020-11-27 01:04:27,2020-11-27 22:41:59,2020-11-27 22:42:28,wholesale,1297.533,0.483,1349,1,2020-11-27
12799,180,188782,2020-11-27 01:04:45,2020-11-27 22:42:29,2020-11-27 22:42:40,wholesale,1297.733,0.183,1349,1,2020-11-27
12800,180,188783,2020-11-27 01:05:55,2020-11-27 22:42:41,2020-11-27 22:42:47,wholesale,1296.767,0.1,1349,1,2020-11-27
12802,180,188785,2020-11-27 01:06:58,2020-11-27 22:42:47,2020-11-27 22:43:13,wholesale,1295.817,0.433,1349,1,2020-11-27
12803,180,188787,2020-11-27 01:08:07,2020-11-27 22:43:15,2020-11-27 22:43:45,wholesale,1295.133,0.5,1349,1,2020-11-27
12804,180,188788,2020-11-27 01:08:37,2020-11-27 22:43:45,2020-11-27 22:44:17,wholesale,1295.133,0.533,1349,1,2020-11-27
12805,180,188789,2020-11-27 01:08:59,2020-11-27 22:44:18,2020-11-27 22:44:52,wholesale,1295.317,0.567,1349,1,2020-11-27
12806,180,188790,2020-11-27 01:10:07,2020-11-27 22:44:53,2020-11-27 22:45:19,wholesale,1294.767,0.433,1349,1,2020-11-27
12807,180,188791,2020-11-27 01:10:16,2020-11-27 22:45:20,2020-11-27 22:45:42,wholesale,1295.067,0.367,1349,1,2020-11-27
12808,180,188792,2020-11-27 01:10:28,2020-11-27 22:45:43,2020-11-27 22:46:00,wholesale,1295.25,0.283,1349,1,2020-11-27
12809,180,188794,2020-11-27 01:11:48,2020-11-27 22:46:02,2020-11-27 22:46:37,wholesale,1294.233,0.583,1349,1,2020-11-27
12812,180,188797,2020-11-27 01:14:52,2020-11-27 22:46:39,2020-11-27 22:47:16,wholesale,1291.783,0.617,1349,1,2020-11-27
12813,180,188799,2020-11-27 01:17:29,2020-11-27 22:47:17,2020-11-27 22:48:28,wholesale,1289.8,1.183,1349,1,2020-11-27
12815,180,188802,2020-11-27 01:21:03,2020-11-27 22:48:34,2020-11-27 22:48:53,wholesale,1287.517,0.317,1349,1,2020-11-27
12817,180,188804,2020-11-27 01:21:53,2020-11-27 22:48:54,2020-11-27 22:49:44,wholesale,1287.017,0.833,1349,1,2020-11-27
12818,180,188807,2020-11-27 01:25:31,2020-11-27 22:51:33,2020-11-27 22:52:17,wholesale,1286.033,0.733,1349,1,2020-11-27
12819,180,188808,2020-11-27 01:26:05,2020-11-27 22:52:20,2020-11-27 22:53:02,wholesale,1286.25,0.7,1349,1,2020-11-27
12820,180,188809,2020-11-27 01:27:29,2020-11-27 22:53:03,2020-11-27 22:54:05,wholesale,1285.567,1.033,1349,1,2020-11-27
12821,180,188810,2020-11-27 01:27:51,2020-11-27 22:54:07,2020-11-27 22:55:22,wholesale,1286.267,1.25,1349,1,2020-11-27
12780,180,188760,2020-11-27 00:45:46,2020-11-27 22:55:23,2020-11-27 22:55:38,wholesale,1329.617,0.25,1349,0,2020-11-27
12822,180,188811,2020-11-27 01:28:10,2020-11-27 22:55:39,2020-11-27 22:55:43,wholesale,1287.483,0.067,1349,1,2020-11-27
12823,180,188812,2020-11-27 01:29:09,2020-11-27 22:55:44,2020-11-27 22:55:49,wholesale,1286.583,0.083,1349,1,2020-11-27
12824,180,188813,2020-11-27 01:29:26,2020-11-27 22:55:52,2020-11-27 22:57:07,wholesale,1286.433,1.25,1349,1,2020-11-27
12825,180,188814,2020-11-27 01:29:35,2020-11-27 22:57:10,2020-11-27 22:57:50,wholesale,1287.583,0.667,1349,1,2020-11-27
12826,180,188815,2020-11-27 01:31:05,2020-11-27 22:57:51,2020-11-27 22:58:02,wholesale,1286.767,0.183,1349,1,2020-11-27
12827,180,188816,2020-11-27 01:31:20,2020-11-27 22:58:03,2020-11-27 22:58:26,wholesale,1286.717,0.383,1349,1,2020-11-27
12828,180,188817,2020-11-27 01:32:13,2020-11-27 22:58:27,2020-11-27 22:58:52,wholesale,1286.233,0.417,1349,1,2020-11-27
12829,180,188819,2020-11-27 01:33:19,2020-11-27 22:59:44,2020-11-27 23:02:54,wholesale,1286.417,3.167,1349,1,2020-11-27
14387,180,190920,2020-11-28 12:55:42,2020-11-30 19:09:39,2020-11-30 19:10:11,wholesale,3253.95,0.533,1349,12,2020-11-30
14388,180,190921,2020-11-28 12:57:02,2020-11-30 19:10:12,2020-11-30 19:11:16,wholesale,3253.167,1.067,1349,12,2020-11-30
14389,180,190922,2020-11-28 12:57:53,2020-11-30 19:11:17,2020-11-30 19:15:50,wholesale,3253.4,4.55,1349,12,2020-11-30
14391,180,190924,2020-11-28 12:58:23,2020-11-30 19:15:51,2020-11-30 19:17:01,wholesale,3257.467,1.167,1349,12,2020-11-30
14392,180,190925,2020-11-28 12:58:26,2020-11-30 19:17:02,2020-11-30 19:18:39,wholesale,3258.6,1.617,1349,12,2020-11-30
14393,180,190926,2020-11-28 12:59:17,2020-11-30 19:18:40,2020-11-30 19:18:51,wholesale,3259.383,0.183,1349,12,2020-11-30
14394,180,190927,2020-11-28 12:59:29,2020-11-30 19:18:52,2020-11-30 19:19:46,wholesale,3259.383,0.9,1349,12,2020-11-30
14395,180,190928,2020-11-28 12:59:47,2020-11-30 19:19:47,2020-11-30 19:20:15,wholesale,3260.0,0.467,1349,12,2020-11-30
14396,180,190929,2020-11-28 12:59:52,2020-11-30 19:20:16,2020-11-30 19:20:50,wholesale,3260.4,0.567,1349,12,2020-11-30
14397,180,190931,2020-11-28 13:01:33,2020-11-30 19:20:51,2020-11-30 19:21:48,wholesale,3259.3,0.95,1349,13,2020-11-30
14399,180,190934,2020-11-28 13:03:36,2020-11-30 19:21:50,2020-11-30 19:23:34,wholesale,3258.233,1.733,1349,13,2020-11-30
14401,180,190937,2020-11-28 13:06:56,2020-11-30 19:23:34,2020-11-30 19:24:00,wholesale,3256.633,0.433,1349,13,2020-11-30
14402,180,190938,2020-11-28 13:07:26,2020-11-30 19:24:01,2020-11-30 19:28:46,wholesale,3256.583,4.75,1349,13,2020-11-30
14404,180,190942,2020-11-28 13:10:52,2020-11-30 19:28:48,2020-11-30 19:29:46,wholesale,3257.933,0.967,1349,13,2020-11-30
14413,180,190963,2020-11-28 13:29:22,2020-11-30 19:29:47,2020-11-30 19:35:09,wholesale,3240.417,5.367,1349,13,2020-11-30
14417,180,190967,2020-11-28 13:30:58,2020-11-30 19:35:10,2020-11-30 19:36:42,wholesale,3244.2,1.533,1349,13,2020-11-30
14418,180,190969,2020-11-28 13:34:57,2020-11-30 19:36:43,2020-11-30 19:38:58,wholesale,3241.767,2.25,1349,13,2020-11-30
14419,180,190972,2020-11-28 13:38:44,2020-11-30 19:38:59,2020-11-30 19:40:24,wholesale,3240.25,1.417,1349,13,2020-11-30
14420,180,190973,2020-11-28 13:38:56,2020-11-30 19:40:25,2020-11-30 19:41:53,wholesale,3241.483,1.467,1349,13,2020-11-30
14421,180,190975,2020-11-28 13:40:40,2020-11-30 19:41:54,2020-11-30 19:43:46,wholesale,3241.233,1.867,1349,13,2020-11-30
14422,180,190976,2020-11-28 13:40:43,2020-11-30 19:43:46,2020-11-30 19:43:47,wholesale,3243.05,0.017,1349,13,2020-11-30
14423,180,190979,2020-11-28 13:44:14,2020-11-30 19:43:47,2020-11-30 19:44:38,wholesale,3239.55,0.85,1349,13,2020-11-30
14424,180,190980,2020-11-28 13:44:49,2020-11-30 19:44:40,2020-11-30 19:47:18,wholesale,3239.85,2.633,1349,13,2020-11-30
14426,180,190982,2020-11-28 13:45:52,2020-11-30 19:47:19,2020-11-30 19:53:56,wholesale,3241.45,6.617,1349,13,2020-11-30
14427,180,190983,2020-11-28 13:45:52,2020-11-30 19:53:57,2020-11-30 19:54:42,wholesale,3248.083,0.75,1349,13,2020-11-30
14430,180,190988,2020-11-28 13:50:46,2020-11-30 19:54:42,2020-11-30 19:55:25,wholesale,3243.933,0.717,1349,13,2020-11-30
14431,180,190990,2020-11-28 13:52:02,2020-11-30 19:55:26,2020-11-30 19:58:04,wholesale,3243.4,2.633,1349,13,2020-11-30
14432,180,190991,2020-11-28 13:52:31,2020-11-30 19:58:05,2020-11-30 19:58:41,wholesale,3245.567,0.6,1349,13,2020-11-30
14433,180,190993,2020-11-28 13:56:58,2020-11-30 19:58:42,2020-11-30 20:01:06,wholesale,3241.733,2.4,1349,13,2020-11-30
14435,180,190996,2020-11-28 13:58:33,2020-11-30 20:01:08,2020-11-30 20:01:28,wholesale,3242.583,0.333,1349,13,2020-11-30
14437,180,190998,2020-11-28 14:03:09,2020-11-30 20:02:58,2020-11-30 20:02:59,wholesale,3239.817,0.017,1349,14,2020-11-30
14438,180,190999,2020-11-28 14:04:43,2020-11-30 20:02:59,2020-11-30 20:03:00,wholesale,3238.267,0.017,1349,14,2020-11-30
14439,180,191000,2020-11-28 14:05:06,2020-11-30 20:03:00,2020-11-30 20:05:50,wholesale,3237.9,2.833,1349,14,2020-11-30
14440,180,191001,2020-11-28 14:05:07,2020-11-30 20:05:51,2020-11-30 20:06:57,wholesale,3240.733,1.1,1349,14,2020-11-30
14441,180,191002,2020-11-28 14:05:46,2020-11-30 20:06:57,2020-11-30 20:07:29,wholesale,3241.183,0.533,1349,14,2020-11-30
15992,180,193298,2020-11-30 13:05:17,2020-11-30 20:08:04,2020-11-30 20:08:34,wholesale,422.783,0.5,1349,13,2020-11-30
16023,180,193334,2020-11-30 14:20:27,2020-11-30 20:08:35,2020-11-30 20:09:51,wholesale,348.133,1.267,1349,14,2020-11-30
16025,180,193337,2020-11-30 14:25:50,2020-11-30 20:09:52,2020-11-30 20:12:39,wholesale,344.033,2.783,1349,14,2020-11-30
16030,180,193342,2020-11-30 14:29:01,2020-11-30 20:12:39,2020-11-30 20:12:40,wholesale,343.633,0.017,1349,14,2020-11-30
16034,180,193358,2020-11-30 15:08:36,2020-11-30 20:12:40,2020-11-30 20:13:27,wholesale,304.067,0.783,1349,15,2020-11-30
16036,180,193361,2020-11-30 15:14:43,2020-11-30 20:13:30,2020-11-30 20:15:10,wholesale,298.783,1.667,1349,15,2020-11-30
16039,180,193364,2020-11-30 15:22:03,2020-11-30 20:15:11,2020-11-30 20:18:21,wholesale,293.133,3.167,1349,15,2020-11-30
16040,180,193365,2020-11-30 15:24:34,2020-11-30 20:18:22,2020-11-30 20:18:52,wholesale,293.8,0.5,1349,15,2020-11-30
14442,180,191003,2020-11-28 14:06:42,2020-11-30 20:24:04,2020-11-30 20:24:05,wholesale,3257.367,0.017,1349,14,2020-11-30
14444,180,191005,2020-11-28 14:07:49,2020-11-30 20:24:05,2020-11-30 20:24:34,wholesale,3256.267,0.483,1349,14,2020-11-30
14445,180,191009,2020-11-28 14:10:24,2020-11-30 20:24:36,2020-11-30 20:25:29,wholesale,3254.2,0.883,1349,14,2020-11-30
14448,180,191013,2020-11-28 14:18:40,2020-11-30 20:25:30,2020-11-30 20:26:01,wholesale,3246.833,0.517,1349,14,2020-11-30
14449,180,191015,2020-11-28 14:20:21,2020-11-30 20:26:02,2020-11-30 20:26:38,wholesale,3245.683,0.6,1349,14,2020-11-30
14452,180,191020,2020-11-28 14:28:06,2020-11-30 20:26:39,2020-11-30 20:27:01,wholesale,3238.55,0.367,1349,14,2020-11-30
14453,180,191021,2020-11-28 14:29:35,2020-11-30 20:27:02,2020-11-30 20:28:27,wholesale,3237.45,1.417,1349,14,2020-11-30
14455,180,191027,2020-11-28 14:35:34,2020-11-30 20:28:28,2020-11-30 20:29:17,wholesale,3232.9,0.817,1349,14,2020-11-30
14457,180,191034,2020-11-28 14:42:26,2020-11-30 20:29:19,2020-11-30 20:29:53,wholesale,3226.883,0.567,1349,14,2020-11-30
14458,180,191038,2020-11-28 14:49:24,2020-11-30 20:29:54,2020-11-30 20:30:29,wholesale,3220.5,0.583,1349,14,2020-11-30
14460,180,191042,2020-11-28 14:51:22,2020-11-30 20:30:30,2020-11-30 20:33:05,wholesale,3219.133,2.583,1349,14,2020-11-30
14461,180,191043,2020-11-28 14:54:00,2020-11-30 20:33:05,2020-11-30 20:33:06,wholesale,3219.083,0.017,1349,14,2020-11-30
14462,180,191044,2020-11-28 14:54:51,2020-11-30 20:33:06,2020-11-30 20:33:15,wholesale,3218.25,0.15,1349,14,2020-11-30
14464,180,191046,2020-11-28 14:55:16,2020-11-30 20:33:16,2020-11-30 20:33:33,wholesale,3218.0,0.283,1349,14,2020-11-30
14465,180,191048,2020-11-28 14:55:53,2020-11-30 20:33:35,2020-11-30 20:33:54,wholesale,3217.7,0.317,1349,14,2020-11-30
14466,180,191049,2020-11-28 14:56:19,2020-11-30 20:33:55,2020-11-30 20:34:10,wholesale,3217.6,0.25,1349,14,2020-11-30
14468,180,191052,2020-11-28 14:58:50,2020-11-30 20:34:13,2020-11-30 20:34:24,wholesale,3215.383,0.183,1349,14,2020-11-30
14470,180,191055,2020-11-28 15:01:20,2020-11-30 20:34:25,2020-11-30 20:34:36,wholesale,3213.083,0.183,1349,15,2020-11-30
14471,180,191056,2020-11-28 15:03:23,2020-11-30 20:34:37,2020-11-30 20:34:56,wholesale,3211.233,0.317,1349,15,2020-11-30
14473,180,191061,2020-11-28 15:06:09,2020-11-30 20:34:57,2020-11-30 20:35:09,wholesale,3208.8,0.2,1349,15,2020-11-30
14474,180,191062,2020-11-28 15:07:05,2020-11-30 20:35:11,2020-11-30 20:35:21,wholesale,3208.1,0.167,1349,15,2020-11-30
14475,180,191063,2020-11-28 15:07:49,2020-11-30 20:35:22,2020-11-30 20:35:33,wholesale,3207.55,0.183,1349,15,2020-11-30
14476,180,191064,2020-11-28 15:09:14,2020-11-30 20:35:34,2020-11-30 20:35:39,wholesale,3206.333,0.083,1349,15,2020-11-30
14477,180,191065,2020-11-28 15:10:10,2020-11-30 20:35:40,2020-11-30 20:35:45,wholesale,3205.5,0.083,1349,15,2020-11-30
14478,180,191067,2020-11-28 15:11:23,2020-11-30 20:35:46,2020-11-30 20:37:25,wholesale,3204.383,1.65,1349,15,2020-11-30
14480,180,191069,2020-11-28 15:12:23,2020-11-30 20:37:26,2020-11-30 20:37:39,wholesale,3205.05,0.217,1349,15,2020-11-30
14482,180,191071,2020-11-28 15:13:23,2020-11-30 20:37:41,2020-11-30 20:38:32,wholesale,3204.3,0.85,1349,15,2020-11-30
14484,180,191073,2020-11-28 15:15:09,2020-11-30 20:38:33,2020-11-30 20:38:42,wholesale,3203.4,0.15,1349,15,2020-11-30
14486,180,191075,2020-11-28 15:15:36,2020-11-30 20:38:43,2020-11-30 20:40:48,wholesale,3203.117,2.083,1349,15,2020-11-30
14487,180,191078,2020-11-28 15:16:34,2020-11-30 20:40:50,2020-11-30 20:40:57,wholesale,3204.267,0.117,1349,15,2020-11-30
14488,180,191079,2020-11-28 15:17:10,2020-11-30 20:40:58,2020-11-30 20:42:18,wholesale,3203.8,1.333,1349,15,2020-11-30
14489,180,191081,2020-11-28 15:17:48,2020-11-30 20:42:18,2020-11-30 20:42:19,wholesale,3204.5,0.017,1349,15,2020-11-30
14491,180,191085,2020-11-28 15:19:30,2020-11-30 20:42:19,2020-11-30 20:42:21,wholesale,3202.817,0.033,1349,15,2020-11-30
14496,180,191094,2020-11-28 15:32:44,2020-11-30 20:42:21,2020-11-30 20:42:28,wholesale,3189.617,0.117,1349,15,2020-11-30
14497,180,191096,2020-11-28 15:37:03,2020-11-30 20:42:29,2020-11-30 20:42:39,wholesale,3185.433,0.167,1349,15,2020-11-30
14504,180,191112,2020-11-28 16:01:56,2020-11-30 20:42:42,2020-11-30 20:43:05,wholesale,3160.767,0.383,1349,16,2020-11-30
14506,180,191115,2020-11-28 16:03:30,2020-11-30 20:43:06,2020-11-30 20:43:21,wholesale,3159.6,0.25,1349,16,2020-11-30
14513,180,191129,2020-11-28 16:22:25,2020-11-30 20:43:22,2020-11-30 20:47:20,wholesale,3140.95,3.967,1349,16,2020-11-30
14446,180,191010,2020-11-28 14:12:39,2020-11-30 20:51:33,2020-11-30 20:54:31,wholesale,3278.9,2.967,1349,14,2020-11-30
14514,180,191131,2020-11-28 16:28:12,2020-11-30 20:54:37,2020-11-30 20:57:55,wholesale,3146.417,3.3,1349,16,2020-11-30
14515,180,191133,2020-11-28 16:32:26,2020-11-30 20:57:56,2020-11-30 20:58:10,wholesale,3145.5,0.233,1349,16,2020-11-30
14516,180,191134,2020-11-28 16:34:53,2020-11-30 20:58:11,2020-11-30 21:00:29,wholesale,3143.3,2.3,1349,16,2020-11-30
14518,180,191136,2020-11-28 16:38:10,2020-11-30 22:33:21,2020-11-30 22:33:40,wholesale,3235.183,0.317,1349,16,2020-11-30
14519,180,191138,2020-11-28 16:41:52,2020-11-30 22:33:41,2020-11-30 22:38:29,wholesale,3231.817,4.8,1349,16,2020-11-30
14520,180,191140,2020-11-28 16:48:37,2020-11-30 22:38:30,2020-11-30 22:39:15,wholesale,3229.883,0.75,1349,16,2020-11-30
14521,180,191141,2020-11-28 16:53:46,2020-11-30 22:39:16,2020-11-30 22:39:33,wholesale,3225.5,0.283,1349,16,2020-11-30
14522,180,191142,2020-11-28 16:56:17,2020-11-30 22:39:34,2020-11-30 22:39:39,wholesale,3223.283,0.083,1349,16,2020-11-30
14524,180,191144,2020-11-28 17:00:23,2020-11-30 22:39:40,2020-11-30 22:43:13,wholesale,3219.283,3.55,1349,17,2020-11-30
14610,180,191336,2020-11-28 23:38:15,2020-11-30 22:43:15,2020-11-30 22:43:28,wholesale,2825.0,0.217,1349,23,2020-11-30
14612,180,191343,2020-11-29 00:16:47,2020-11-30 22:43:29,2020-11-30 22:43:49,wholesale,2786.7,0.333,1349,0,2020-11-30
14614,180,191345,2020-11-29 00:26:21,2020-11-30 22:43:51,2020-11-30 22:44:27,wholesale,2777.5,0.6,1349,0,2020-11-30
14615,180,191347,2020-11-29 00:29:16,2020-11-30 22:44:29,2020-11-30 22:46:17,wholesale,2775.217,1.8,1349,0,2020-11-30
14598,180,191292,2020-11-28 20:33:30,2020-11-30 22:46:19,2020-11-30 22:46:54,wholesale,3012.817,0.583,1349,20,2020-11-30
14613,180,191344,2020-11-29 00:19:41,2020-11-30 22:46:55,2020-11-30 22:47:02,wholesale,2787.233,0.117,1349,0,2020-11-30
14616,180,191350,2020-11-29 00:32:35,2020-11-30 22:47:17,2020-11-30 22:48:50,wholesale,2774.7,1.55,1349,0,2020-11-30
14617,180,191352,2020-11-29 00:34:15,2020-11-30 22:49:10,2020-11-30 22:49:40,wholesale,2774.917,0.5,1349,0,2020-11-30
14618,180,191355,2020-11-29 00:36:19,2020-11-30 22:52:28,2020-11-30 22:52:39,wholesale,2776.15,0.183,1349,0,2020-11-30
14619,180,191356,2020-11-29 00:38:09,2020-11-30 22:52:40,2020-11-30 22:53:56,wholesale,2774.517,1.267,1349,0,2020-11-30
14620,180,191357,2020-11-29 00:39:52,2020-11-30 22:53:57,2020-11-30 22:56:54,wholesale,2774.083,2.95,1349,0,2020-11-30
14807,180,191583,2020-11-29 03:58:19,2020-12-01 19:05:34,2020-12-01 19:08:04,wholesale,3787.25,2.5,1349,3,2020-12-01
14808,180,191585,2020-11-29 03:59:24,2020-12-01 19:17:28,2020-12-01 19:22:29,wholesale,3798.067,5.017,1349,3,2020-12-01
14809,180,191586,2020-11-29 04:00:28,2020-12-01 19:22:29,2020-12-01 19:24:31,wholesale,3802.017,2.033,1349,4,2020-12-01
14810,180,191587,2020-11-29 04:05:18,2020-12-01 19:24:32,2020-12-01 19:25:24,wholesale,3799.233,0.867,1349,4,2020-12-01
14811,180,191588,2020-11-29 04:06:37,2020-12-01 19:25:26,2020-12-01 19:27:50,wholesale,3798.817,2.4,1349,4,2020-12-01
14812,180,191589,2020-11-29 04:07:16,2020-12-01 19:27:51,2020-12-01 19:28:39,wholesale,3800.583,0.8,1349,4,2020-12-01
14813,180,191590,2020-11-29 04:07:40,2020-12-01 19:28:40,2020-12-01 19:33:01,wholesale,3801.0,4.35,1349,4,2020-12-01
14815,180,191592,2020-11-29 04:09:55,2020-12-01 19:33:04,2020-12-01 19:33:45,wholesale,3803.15,0.683,1349,4,2020-12-01
14816,180,191593,2020-11-29 04:10:25,2020-12-01 19:33:46,2020-12-01 19:34:41,wholesale,3803.35,0.917,1349,4,2020-12-01
14817,180,191594,2020-11-29 04:11:24,2020-12-01 19:34:43,2020-12-01 19:35:35,wholesale,3803.317,0.867,1349,4,2020-12-01
14818,180,191595,2020-11-29 04:12:23,2020-12-01 19:35:35,2020-12-01 19:42:42,wholesale,3803.2,7.117,1349,4,2020-12-01
14819,180,191596,2020-11-29 04:12:36,2020-12-01 19:42:43,2020-12-01 19:43:43,wholesale,3810.117,1.0,1349,4,2020-12-01
14820,180,191597,2020-11-29 04:13:38,2020-12-01 19:43:47,2020-12-01 19:45:13,wholesale,3810.15,1.433,1349,4,2020-12-01
14821,180,191599,2020-11-29 04:14:38,2020-12-01 19:47:24,2020-12-01 19:48:17,wholesale,3812.767,0.883,1349,4,2020-12-01
14822,180,191600,2020-11-29 04:15:55,2020-12-01 19:48:19,2020-12-01 19:50:17,wholesale,3812.4,1.967,1349,4,2020-12-01
14823,180,191601,2020-11-29 04:16:06,2020-12-01 19:50:18,2020-12-01 19:53:49,wholesale,3814.2,3.517,1349,4,2020-12-01
14814,180,191591,2020-11-29 04:08:56,2020-12-01 19:53:49,2020-12-01 19:54:01,wholesale,3824.883,0.2,1349,4,2020-12-01
14824,180,191602,2020-11-29 04:16:07,2020-12-01 19:54:02,2020-12-01 19:54:59,wholesale,3817.917,0.95,1349,4,2020-12-01
14825,180,191605,2020-11-29 04:23:43,2020-12-01 19:56:55,2020-12-01 19:57:47,wholesale,3813.2,0.867,1349,4,2020-12-01
14826,180,191607,2020-11-29 04:33:09,2020-12-01 19:57:50,2020-12-01 19:58:58,wholesale,3804.683,1.133,1349,4,2020-12-01
14837,180,191621,2020-11-29 05:04:31,2020-12-01 20:44:33,2020-12-01 20:51:54,wholesale,3820.033,7.35,1349,5,2020-12-01
14844,180,191628,2020-11-29 05:18:42,2020-12-01 20:51:54,2020-12-01 20:52:17,wholesale,3813.2,0.383,1349,5,2020-12-01
14846,180,191630,2020-11-29 05:20:58,2020-12-01 20:52:18,2020-12-01 20:55:48,wholesale,3811.333,3.5,1349,5,2020-12-01
14850,180,191634,2020-11-29 05:23:53,2020-12-01 20:55:49,2020-12-01 20:56:44,wholesale,3811.933,0.917,1349,5,2020-12-01
14852,180,191636,2020-11-29 05:24:54,2020-12-01 20:56:47,2020-12-01 20:56:57,wholesale,3811.883,0.167,1349,5,2020-12-01
14854,180,191638,2020-11-29 05:26:05,2020-12-01 20:56:58,2020-12-01 20:57:52,wholesale,3810.883,0.9,1349,5,2020-12-01
14856,180,191640,2020-11-29 05:33:16,2020-12-01 20:57:53,2020-12-01 21:05:08,wholesale,3804.617,7.25,1349,5,2020-12-01
14859,180,191644,2020-11-29 05:39:52,2020-12-01 21:58:29,2020-12-01 21:59:32,wholesale,3858.617,1.05,1349,5,2020-12-01
