,moderator,id_request,request_time,start_time,finish_time,team,before_1_resp_min,solve_prblm_min,total_requests_by_mod,hour_of_day,date
9200,180,183789,2020-11-22 10:51:43,2020-11-22 20:01:35,2020-11-22 20:01:52,wholesale,549.867,0.283,1349,10,2020-11-22
9202,180,183799,2020-11-22 10:58:36,2020-11-22 20:01:53,2020-11-22 20:02:43,wholesale,543.283,0.833,1349,10,2020-11-22
9204,180,183801,2020-11-22 11:04:00,2020-11-22 20:02:44,2020-11-22 20:03:54,wholesale,538.733,1.167,1349,11,2020-11-22
9212,180,183810,2020-11-22 11:21:04,2020-11-22 20:03:55,2020-11-22 20:04:36,wholesale,522.85,0.683,1349,11,2020-11-22
9215,180,183814,2020-11-22 11:28:34,2020-11-22 20:04:37,2020-11-22 20:05:13,wholesale,516.05,0.6,1349,11,2020-11-22
9219,180,183819,2020-11-22 11:31:58,2020-11-22 20:05:15,2020-11-22 20:06:20,wholesale,513.283,1.083,1349,11,2020-11-22
9232,180,183849,2020-11-22 12:03:19,2020-11-22 20:06:21,2020-11-22 20:07:45,wholesale,483.033,1.4,1349,12,2020-11-22
9234,180,183851,2020-11-22 12:07:17,2020-11-22 20:07:46,2020-11-22 20:08:38,wholesale,480.483,0.867,1349,12,2020-11-22
9238,180,183855,2020-11-22 12:12:20,2020-11-22 20:08:39,2020-11-22 20:15:40,wholesale,476.317,7.017,1349,12,2020-11-22
9240,180,183857,2020-11-22 12:15:17,2020-11-22 20:15:41,2020-11-22 20:21:12,wholesale,480.4,5.517,1349,12,2020-11-22
9243,180,183860,2020-11-22 12:18:07,2020-11-22 20:21:26,2020-11-22 20:28:39,wholesale,483.317,7.217,1349,12,2020-11-22
9241,180,183858,2020-11-22 12:15:32,2020-11-22 20:28:40,2020-11-22 20:29:26,wholesale,493.133,0.767,1349,12,2020-11-22
9244,180,183862,2020-11-22 12:18:51,2020-11-22 20:29:27,2020-11-22 20:30:07,wholesale,490.6,0.667,1349,12,2020-11-22
9245,180,183863,2020-11-22 12:20:22,2020-11-22 20:30:08,2020-11-22 20:31:45,wholesale,489.767,1.617,1349,12,2020-11-22
9246,180,183865,2020-11-22 12:20:31,2020-11-22 20:31:45,2020-11-22 20:34:47,wholesale,491.233,3.033,1349,12,2020-11-22
9247,180,183866,2020-11-22 12:22:38,2020-11-22 20:34:48,2020-11-22 20:36:00,wholesale,492.167,1.2,1349,12,2020-11-22
9989,180,184993,2020-11-23 13:21:28,2020-11-23 19:02:30,2020-11-23 19:09:02,wholesale,341.033,6.533,1349,13,2020-11-23
9991,180,184995,2020-11-23 13:22:18,2020-11-23 19:09:03,2020-11-23 19:13:48,wholesale,346.75,4.75,1349,13,2020-11-23
9992,180,184996,2020-11-23 13:22:57,2020-11-23 19:13:48,2020-11-23 19:15:39,wholesale,350.85,1.85,1349,13,2020-11-23
9993,180,184997,2020-11-23 13:23:33,2020-11-23 19:15:41,2020-11-23 19:16:01,wholesale,352.133,0.333,1349,13,2020-11-23
9994,180,184998,2020-11-23 13:24:24,2020-11-23 19:16:02,2020-11-23 19:17:19,wholesale,351.633,1.283,1349,13,2020-11-23
9995,180,184999,2020-11-23 13:24:27,2020-11-23 19:17:21,2020-11-23 19:18:44,wholesale,352.9,1.383,1349,13,2020-11-23
9998,180,185002,2020-11-23 13:25:21,2020-11-23 19:18:46,2020-11-23 19:19:48,wholesale,353.417,1.033,1349,13,2020-11-23
9999,180,185003,2020-11-23 13:25:44,2020-11-23 19:19:50,2020-11-23 19:21:37,wholesale,354.1,1.783,1349,13,2020-11-23
10000,180,185005,2020-11-23 13:26:29,2020-11-23 19:21:51,2020-11-23 19:23:12,wholesale,355.367,1.35,1349,13,2020-11-23
10001,180,185006,2020-11-23 13:27:25,2020-11-23 19:23:15,2020-11-23 19:24:08,wholesale,355.833,0.883,1349,13,2020-11-23
10004,180,185010,2020-11-23 13:28:48,2020-11-23 19:24:09,2020-11-23 19:26:10,wholesale,355.35,2.017,1349,13,2020-11-23
10005,180,185011,2020-11-23 13:30:03,2020-11-23 19:26:11,2020-11-23 19:26:41,wholesale,356.133,0.5,1349,13,2020-11-23
